AL0000000012022,30012022
AL0000000022022,24012022
AL0000000042022,22012022
AL0000000052022,20012022
AL0000000062022,19012022
AL0000000072022,18012022
AL0000000082022,18012022
AL0000000092022,11012022
AL0000000102022,08012022
AL0000000112022,07012022
AL0000000122022,05012022
AL0000000132022,04012022
AL0000000142022,01012022
AL0000000152022,03012022
AL0000000162022,03012022
AL0000000172022,05012022
AL0000000182022,09012022
AL0000000192022,08012022
AL0000000202022,11012022
AL0000000212022,13012022
AL0000000222022,14012022
AL0000000232022,16012022
AL0000000242022,20012022
AL0000000252022,24012022
AL0000000262022,21012022
AL0000000272022,25012022
AL0000000282022,22012022
AL0000000392022,31012022
AL0000000402022,26012022
AL0000000412022,23012022
AL0000000292022,01012022
AL0000000302022,02012022
AL0000000312022,03012022
AL0000000322022,05012022
AL0000000332022,05012022
AL0000000342022,05012022
AL0000000352022,08012022
AL0000000362022,09012022
AL0000000372022,12012022
AL0000000382022,13012022
AL0000000422022,16012022
AL0000000432022,15012022
AL0000000442022,15012022
AL0000000452022,16012022
AL0000000462022,16012022
AL0000000472022,16012022
AL0000000482022,16012022
AL0000000492022,17012022
AL0000000502022,17012022
AL0000000512022,18012022
AL0000000522022,20012022
AL0000000532022,19012022
AL0000000542022,22012022
AL0000000552022,23012022
AL0000000562022,24012022
AL0000000572022,25012022
AL0000000582022,28012022
AL0000000592022,29012022
AL0000000602022,30012022
AL0000000612022,30012022
AL0000000622022,30012022
AL0000000632022,31012022
AL0000000642022,17012022
AL0000000032022,03012022
AL0000000652022,15012022
AL0000000662022,15012022
AL0000000672022,17012022
AL0000000682022,18012022
AL0000000692022,18012022
AL0000000702022,23012022
AL0000000712022,24012022
AL0000000722022,15012022
AL0000000732022,16012022
AL0000000742022,25012022
AL0000000752022,29012022
AL0000000762022,30012022
AL0000000772022,31012022
AL0000000782022,15012022
AL0000000792022,19012022
AL0000000802022,14012022
AL0000000812022,19012022
AL0000000822022,13012022
AL0000000832022,20012022
AL0000000842022,16012022
AL0000000852022,06012022
AL0000000862022,09012022
AL0000000872022,03012022
AL0000000882022,06012022
AL0000000892022,01012022
AL0000000902022,03012022
AL0000000912022,04012022
AL0000000922022,02012022
AL0000000932022,20012022
AL0000000942022,02012022
AL0000000952022,20012022
AL0000000962022,03012022
AL0000000972022,02012022
AL0000000982022,20012022
AL0000000992022,01012022
